,blacklivesmatter,blm,spotify,indie,music,indiepopdatabase,nowplaying,zombies,covid19,keepingitpeel,icantbreathe,hiphop,podcast,wewillvote,newmusic,rap,vote,unity,lgbtq,coronavirus,racism,museboost,stopthehate,spotifyplaylist,allblacklivesmatter,translivesmatter,stopthekillings,podernfamily,breonnataylor,love,letour2020,newmusicfriday,artist,viral,georgefloyd,justiceforbreonnataylor,rtlt,itunes,blackhistorymonth,blacktwitter,blacklivesstillmatter,usa,playlist,newmusicalert,votelikeyourlifedependsonit,new,share,podcasts,defundthepolice,jazz,rapper,allbuildingsmatter,mentalhealth,trap,applemusic,beats,blackisbeautiful,bethechange,hiphop_x_jazz,acab,podcastrecommendations,endracism,spotifycharts,rapmusic,hiphopmusic,art,trump,southafrica,vote2020,rtltbot,podcasting,rt,beherd,nbc,rappers,interview,youtube,sayhername,worldwide,royalty,blacktwittersa,level1lockdown,blackfriday,meghanlinsey,themourning,blackhistorymonthuk,global,soundcloud,policebrutality,nba,trapmusic,alllivesmatter,tip,drdre,spotifypodcasts,blues,rockthevote,dosomething,flipthesenateblue,nativevote
breonnataylor,12,6,7,0,2,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0,1,0,0,3,0,0,0,1,17,2,0,0,2,0,6,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,2,0,0,1,2,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0
youtube,6,3,11,0,5,0,1,0,1,0,0,5,4,0,2,2,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,1,2,1,0,0,0,3,0,0,0,0,1,2,0,2,1,0,0,0,2,0,0,2,1,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
blackisbeautiful,8,0,6,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0
global,7,0,6,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,6,6,6,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0
worldwide,7,0,6,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,6,6,6,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0
letour2020,15,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
royalty,6,0,6,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0
blacktwittersa,6,0,6,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0
level1lockdown,6,0,6,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0
trap,5,0,7,0,5,0,0,0,0,0,0,8,0,0,2,5,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,1,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,1,4,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0
